Home_Load,Work_Load,Total_Load
0.0,66.72492351801363,66.72492351801363
0.0,65.00006346676746,65.00006346676746
0.0,130.6978839291025,130.6978839291025
0.0,131.77404838210626,131.77404838210626
0.0,263.6274600458064,263.6274600458064
0.0,395.4978649827497,395.4978649827497
0.0,459.5266393622454,459.5266393622454
0.0,595.9996958297738,595.9996958297738
0.0,594.0726654101836,594.0726654101836
0.0,726.5175258214027,726.5175258214027
0.0,593.5790061128538,593.5790061128538
0.0,726.057734487419,726.057734487419
0.0,725.604905230991,725.604905230991
0.0,923.5428399123583,923.5428399123583
0.0,1319.3672529173314,1319.3672529173314
0.0,594.2622503637901,594.2622503637901
0.0,1056.590541254903,1056.590541254903
0.0,1389.5796366384975,1389.5796366384975
0.0,1250.7393239394842,1250.7393239394842
0.0,1451.8183684998357,1451.8183684998357
0.0,1182.622052899541,1182.622052899541
0.0,1445.0760834487999,1445.0760834487999
0.0,1776.1850486755304,1776.1850486755304
0.0,1846.825335935308,1846.825335935308
0.0,1584.1491073544169,1584.1491073544169
0.0,1383.3416427576055,1383.3416427576055
0.0,1782.0425156171893,1782.0425156171893
0.0,2701.725536499994,2701.725536499994
0.0,2175.327771299506,2175.327771299506
0.0,2375.9246910842053,2375.9246910842053
0.0,3231.6969165645464,3231.6969165645464
0.0,3097.14451369893,3097.14451369893
0.0,3034.6914235220447,3034.6914235220447
0.0,2498.0609365613263,2498.0609365613263
0.0,2832.6392025310465,2832.6392025310465
0.0,2705.518300486594,2705.518300486594
0.0,3232.4995235575816,3232.4995235575816
0.0,3431.3854548289964,3431.3854548289964
0.0,2770.2848851818335,2770.2848851818335
0.0,2770.247706935962,2770.247706935962
0.0,2704.455619696834,2704.455619696834
0.0,2443.0491754669174,2443.0491754669174
0.0,3636.7232184632844,3636.7232184632844
0.0,3765.4968494477885,3765.4968494477885
0.0,3558.680347869949,3558.680347869949
0.0,3564.9654575951895,3564.9654575951895
0.0,2905.83894887631,2905.83894887631
0.0,2704.8223951401774,2704.8223951401774
0.0,2715.2586974463843,2715.2586974463843
0.0,2839.4995197697694,2839.4995197697694
0.0,2185.469539246961,2185.469539246961
0.0,2641.4488921741477,2641.4488921741477
88.55755856612882,2572.470511005643,2661.028069571772
88.31507783442554,2180.2131300768892,2268.528207911315
132.98145518865348,2706.2067533027985,2839.188208491452
177.66628738413633,3034.205795074046,3211.8720824581824
178.27568289730254,3106.8258223571647,3285.101505254467
266.7428642070745,3098.733676407169,3365.4765406142433
267.7583984291998,3826.2639763633433,4094.022374792543
312.9701179792481,4090.5900724222015,4403.560190401449
401.3464702486329,4225.382614978089,4626.7290852267215
400.7238880741077,4357.368743236089,4758.092631310197
532.633790788732,4287.813452910838,4820.44724369957
666.8092420783124,4551.755511758732,5218.564753837044
932.0489413916996,4887.175041036285,5819.223982427984
1018.461451941854,4616.479043599278,5634.940495541132
1420.7298964669064,4215.414786178908,5636.144682645814
1683.9903701694302,3897.435376356586,5581.425746526016
1600.209425703618,3368.840471516895,4969.049897220513
2525.3335521970776,2775.4309510775206,5300.764503274599
2882.4624740959052,2315.472085313051,5197.934559408956
3370.7435711464072,1785.5431210697607,5156.286692216168
4082.81332518939,1587.8269113784202,5670.6402365678105
4972.100912825359,1454.5355593535974,6426.636472178956
5459.990771328636,1254.4411284007422,6714.431899729378
5812.750780131184,1121.249790231724,6934.000570362909
6837.319894826973,988.3242752236811,7825.644170050654
7904.7060844802745,855.0197915012615,8759.725875981536
8386.547052476415,858.8363434453242,9245.383395921739
9586.04331249975,922.4883614181368,10508.531673917887
10779.668641080492,858.8539047782288,11638.522545858721
11620.41903500062,590.7230279339497,12211.142062934568
12648.460046552691,526.6099094273688,13175.06995598006
14115.510842053889,264.16718529719503,14379.678027351085
15092.786221736389,262.72840938231985,15355.514631118709
16336.864473669082,197.19382713647173,16534.058300805555
17130.44283227619,130.71461956531198,17261.1574518415
18112.724698606093,130.84415573044018,18243.568854336532
19147.106668392786,131.36539912499143,19278.472067517778
19624.173541741435,0.0,19624.173541741435
20740.892242259404,0.0,20740.892242259404
21045.691306079843,0.0,21045.691306079843
21127.59497393846,0.0,21127.59497393846
21658.09525058416,0.0,21658.09525058416
22056.244345179537,0.0,22056.244345179537
22829.92819716066,0.0,22829.92819716066
23406.296446310014,0.0,23406.296446310014
23928.583677088693,0.0,23928.583677088693
23978.401030132274,0.0,23978.401030132274
24619.035326525354,0.0,24619.035326525354
23797.487241694005,0.0,23797.487241694005
24505.066676279173,0.0,24505.066676279173
24114.6136112306,0.0,24114.6136112306
23225.642238287262,0.0,23225.642238287262
22243.848792528283,0.0,22243.848792528283
21217.60847272056,0.0,21217.60847272056
20118.70747438107,0.0,20118.70747438107
20434.343993008442,0.0,20434.343993008442
19716.64181731434,0.0,19716.64181731434
19356.730249971773,0.0,19356.730249971773
19101.536146879083,0.0,19101.536146879083
18704.769926683653,0.0,18704.769926683653
19009.139301102172,0.0,19009.139301102172
18255.677338865695,0.0,18255.677338865695
17627.623842043227,0.0,17627.623842043227
16441.63865609573,0.0,16441.63865609573
15139.79258775315,0.0,15139.79258775315
13992.161008955723,0.0,13992.161008955723
11764.95386060956,0.0,11764.95386060956
10739.82599629981,0.0,10739.82599629981
9582.555127968728,0.0,9582.555127968728
8696.408047229055,0.0,8696.408047229055
7902.357490352041,0.0,7902.357490352041
7105.3274182666055,0.0,7105.3274182666055
6398.269326618694,0.0,6398.269326618694
5549.8069550767705,0.0,5549.8069550767705
4799.563129141279,0.0,4799.563129141279
4085.3415870658696,0.0,4085.3415870658696
3507.169802519628,0.0,3507.169802519628
3066.635408062494,0.0,3066.635408062494
2485.901118475334,0.0,2485.901118475334
1954.174272333673,0.0,1954.174272333673
1728.8213648475407,0.0,1728.8213648475407
