BEV_Load,PHEV_Load,LDV_Load,Two_Wheeler_Load,Total_Load
0.0,65.49147676534494,0.0,0.0,65.49147676534494
0.0,0.0,0.0,0.0,0.0
67.18918233808432,0.0,0.0,0.0,67.18918233808432
66.03843012461397,0.0,0.0,0.0,66.03843012461397
66.73040634986077,65.97871068403492,0.0,0.0,132.7091170338957
131.5018734806832,0.0,0.0,0.0,131.5018734806832
66.18175446245768,66.58056789918366,0.0,0.0,132.76232236164134
67.04078634931086,66.56012490331628,0.0,65.69864356339318,199.29955481602033
67.08068967861573,66.00422527439618,0.0,66.50003662446434,199.58495157747623
132.3265697134178,66.1566693644863,0.0,66.54171090720887,265.024949985113
132.26645925765047,131.30919835463928,0.0,66.13650995489648,329.71216756718627
66.28797452045073,131.77819299578618,0.0,0.0,198.06616751623693
66.4337154286938,130.58231880803513,0.0,0.0,197.01603423672893
66.99740866715368,0.0,65.93089323678407,0.0,132.92830190393775
67.13672572322501,0.0,131.2388423575579,66.51537063404757,264.89093871483044
131.26649110261212,131.303915483296,66.56282397965911,0.0,329.13323056556726
198.62660528937764,330.95292949622115,131.50054659132653,66.10658251978566,727.1866638967109
65.63645189568875,330.49235729496417,131.82014744917203,0.0,527.9489566398249
198.5547578551084,133.25008581266516,65.6462872394999,0.0,397.4511309072734
66.67688379720214,0.0,66.69168812488387,0.0,133.368571922086
131.94103809990315,0.0,132.31572975485287,0.0,264.25676785475605
262.8067446505907,133.22221359059833,132.01597588143702,132.58555613349844,660.6304902561245
263.40538198515884,65.8818648044048,66.08777270174669,65.38427484935153,460.7592943406619
198.44783264835309,133.22318402309168,65.02827375838031,0.0,396.69929042982506
197.8464067310725,129.85951033144528,65.65969591230592,66.44908414695958,459.81469712178324
396.4844270990625,0.0,263.71652843656153,0.0,660.200955535624
331.05357919022777,264.309308007058,262.81279455200337,0.0,858.1756817492892
462.26568560243794,132.1461389306353,196.66671788611745,0.0,791.0785424191907
331.75758332805657,66.9013685046797,198.1256227758471,132.022401733814,728.8069763423974
331.40526484599644,132.79038228449394,195.74199902840496,0.0,659.9376461588954
330.39816733854065,66.4117461595644,131.74679911684095,0.0,528.556712614946
196.70998199303395,264.76930583764846,132.63142852459856,0.0,594.110716355281
196.91836443437808,461.5971561220403,66.47347521735084,0.0,724.9889957737691
66.0851632774927,264.35727716877176,131.36765837276636,0.0,461.8100988190308
0.0,130.9961226982431,131.35306724981288,0.0,262.349189948056
65.87154885352255,65.83157693653972,131.91249648922792,0.0,263.61562227929016
197.14696746987036,329.1504470566214,132.90300258552784,0.0,659.2004171120195
0.0,130.7273424578048,131.51418771968216,65.40159075159973,327.6431209290867
132.05343538922742,197.32638284716276,66.29142671409912,0.0,395.67124495048927
66.10589357932928,197.2182347498643,66.22895220802764,66.0583652323559,395.61144576957713
132.8482200847169,130.705725490951,132.53067667565742,0.0,396.0846222513253
132.04884135561431,0.0,65.58574495561004,65.28752623985497,262.9221125510793
132.49495849596883,0.0,132.647837457821,0.0,265.1427959537898
132.5615088373279,131.16836887991892,65.95062619389729,132.52749383717773,462.2079977483219
198.16351341035138,198.7628210352887,65.99044421014665,65.27877887976054,528.1955575355473
329.58667488841616,0.0,65.59335821924317,65.6170386952507,460.79707180291
264.55922634200857,197.28620561725145,0.0,66.960387786293,528.8058197455531
198.0215840471816,198.8096419405718,65.86355225009109,0.0,462.6947782378445
132.2065719919762,198.4434556461206,0.0,0.0,330.65002763809684
329.2116559482395,132.62840801495153,66.05807655669219,0.0,527.8981405198832
329.0967181272326,263.1544809388506,65.69134921092486,0.0,657.9425482770081
528.2203684694615,198.41105722056446,64.97036785879736,0.0,791.6017935488233
461.3797394818603,198.8836226703957,65.19323635677075,0.0,725.4565985090268
460.1250664011291,264.9130930875871,65.80931502739256,66.69318619191516,857.540660708024
525.2780431456044,396.9932078403701,66.19743339844851,133.928202574732,1122.3968869591552
459.61835235819655,399.0875309204033,65.92722058872948,131.7895202520917,1056.422624119421
461.3226673133674,332.879524672127,66.15226235203572,132.42908265057525,992.7835369881054
461.3132088541277,398.0481019253386,65.66675262603518,177.56154175033527,1102.5896051558368
394.87214960169865,465.15206859885336,130.57900954993997,177.60343622248652,1168.2066639729785
393.37551592053603,552.4807905840325,109.70957723116524,132.76381679457975,1188.3297005303136
397.6691938417508,729.3723638317168,176.5403147576458,132.53271779675129,1436.1145902278647
395.2604789777763,662.5533515964106,263.9703752255574,133.11359493482536,1454.8978007345695
330.184120580762,753.2781811100427,242.90617818410686,178.2232693342459,1504.5917492091576
308.94284170070995,797.3300980972722,288.0908017886756,176.24402238690794,1570.6077639735659
242.49246810702473,710.2863505374996,288.64440799227924,177.25804627314253,1418.681272909946
286.9816911560479,864.370274988983,266.14715750364854,132.6128266075818,1550.1119502562613
220.63863843873477,1040.6272063006834,309.92861297237437,65.95949590943,1637.1539536212224
153.95948637339848,1196.8402463369891,311.8700161386521,0.0,1662.6697488490397
198.0525385644588,1327.6985682715854,310.4169485210894,0.0,1836.1680553571334
310.2341646680253,1308.601551708365,311.91153846324767,133.66092880071974,2064.408183640358
309.2748066652169,1196.0463822004901,355.2931468072247,89.64070777076178,1950.2550434436935
397.53528691722744,1285.7418530938467,442.8756095929589,132.93639056480689,2259.08914016884
487.7935586611214,1417.3060467063704,486.8182045442074,132.46172588923787,2524.3795358009365
486.73032795398393,1462.598754858573,488.63053805344384,44.219288482257916,2482.178909348259
488.0427444562858,1685.5061088831612,488.65771554105504,44.02283649066021,2706.229405371162
