Home_Load,Work_Load,Total_Load
0.0,65.214463388823,65.214463388823
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,66.15739329982182,66.15739329982182
0.0,131.89160319401867,131.89160319401867
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,131.91572243911978,131.91572243911978
0.0,66.45483631220019,66.45483631220019
0.0,65.92376397225529,65.92376397225529
0.0,132.01815453349275,132.01815453349275
0.0,131.4013862906089,131.4013862906089
0.0,132.2359018536353,132.2359018536353
0.0,65.94909915434914,65.94909915434914
0.0,65.45921316994999,65.45921316994999
0.0,262.9660504163895,262.9660504163895
0.0,262.4780376269849,262.4780376269849
0.0,262.79306473712575,262.79306473712575
0.0,264.59445317906943,264.59445317906943
0.0,262.63124134689826,262.63124134689826
0.0,130.78434220144425,130.78434220144425
0.0,263.7742364838781,263.7742364838781
0.0,326.97395406019746,326.97395406019746
0.0,329.28657266189117,329.28657266189117
0.0,461.29928435531093,461.29928435531093
0.0,131.98070552966408,131.98070552966408
0.0,265.2544249113494,265.2544249113494
0.0,527.8166749521636,527.8166749521636
0.0,528.3162859669966,528.3162859669966
0.0,527.974099461631,527.974099461631
0.0,594.8363819563543,594.8363819563543
0.0,526.6641702207409,526.6641702207409
0.0,395.5571234661347,395.5571234661347
0.0,330.0012367743509,330.0012367743509
0.0,130.9422890402947,130.9422890402947
0.0,66.00698449613584,66.00698449613584
0.0,263.66819527616576,263.66819527616576
0.0,330.9571298316278,330.9571298316278
0.0,130.75766841155144,130.75766841155144
0.0,131.07234160176193,131.07234160176193
0.0,328.48686299160244,328.48686299160244
0.0,131.21897115512957,131.21897115512957
0.0,329.47880917345304,329.47880917345304
0.0,263.87944706707054,263.87944706707054
0.0,329.60122665252624,329.60122665252624
0.0,264.0058997761138,264.0058997761138
0.0,262.51245872331407,262.51245872331407
0.0,394.8616110523605,394.8616110523605
0.0,460.7575257315381,460.7575257315381
0.0,462.61097185825986,462.61097185825986
0.0,594.2048711536173,594.2048711536173
0.0,796.6062695066195,796.6062695066195
44.095460860038614,792.8089315738532,836.9043924338919
44.055308559176076,793.3413357089582,837.3966442681343
44.319094447217424,661.6059382194373,705.9250326666547
133.46908883792935,595.4247173985633,728.8938062364927
133.54065382949824,664.3450274417578,797.8856812712561
221.71573265130655,728.7588994316734,950.47463208298
177.55402020471263,596.2425759193557,773.7965961240683
312.23272005903374,662.2855024597651,974.5182225187989
311.3424525510189,596.2399742433224,907.5824267943412
354.89244643596095,595.7159531228775,950.6083995588385
490.50607567860897,528.3087945785048,1018.8148702571139
578.0304465458705,463.10315003550227,1041.1335965813728
622.1967232933011,395.2183339523708,1017.415057245672
710.6444847392875,263.50882402512815,974.1533087644157
889.1114481449287,329.00301317818656,1218.1144613231152
887.4121570440511,265.93063048700094,1153.3427875310522
1156.3585144090814,198.17381929799942,1354.5323337070809
1066.7529908772758,131.3641211887193,1198.1171120659951
1284.9217811743963,131.77211688243537,1416.6938980568316
1553.676958127827,132.6635545945375,1686.3405127223646
1687.120510154895,131.117196722629,1818.237706877524
2001.514736584209,131.36200581531645,2132.8767423995255
2001.3900474244565,66.56377233097761,2067.9538197554343
2265.0111067090816,65.58522465296052,2330.5963313620423
2618.605026920922,0.0,2618.605026920922
2841.2984096047185,0.0,2841.2984096047185
2798.659325375296,0.0,2798.659325375296
2845.1328355540727,0.0,2845.1328355540727
2798.0355721067,0.0,2798.0355721067
3020.718560189047,0.0,3020.718560189047
3290.6223446068702,0.0,3290.6223446068702
