Home_Load,Work_Load,Total_Load
0.0,66.3734080461484,66.3734080461484
0.0,0.0,0.0
0.0,0.0,0.0
0.0,64.8016591117581,64.8016591117581
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,66.32099791285738,66.32099791285738
0.0,131.27218940746812,131.27218940746812
0.0,0.0,0.0
0.0,65.28314605036219,65.28314605036219
0.0,196.25989052281204,196.25989052281204
0.0,132.26720409146532,132.26720409146532
0.0,330.9775863423002,330.9775863423002
0.0,198.26788758860928,198.26788758860928
0.0,198.53814092975614,198.53814092975614
0.0,395.62328689310925,395.62328689310925
0.0,262.76024055464654,262.76024055464654
0.0,788.8697316143347,788.8697316143347
0.0,789.8631009978552,789.8631009978552
0.0,660.14728350431,660.14728350431
0.0,724.4457614391334,724.4457614391334
0.0,1054.4982845321242,1054.4982845321242
0.0,1190.270787248543,1190.270787248543
0.0,788.8836020104005,788.8836020104005
0.0,1057.9477334340665,1057.9477334340665
0.0,989.3126851973504,989.3126851973504
0.0,592.4503328374233,592.4503328374233
0.0,594.4577087168105,594.4577087168105
0.0,993.0282163892851,993.0282163892851
0.0,527.9522514989651,527.9522514989651
0.0,1053.9932624484647,1053.9932624484647
0.0,1257.0497567005657,1257.0497567005657
0.0,1121.9885805769777,1121.9885805769777
0.0,992.397854886063,992.397854886063
0.0,724.810336268827,724.810336268827
0.0,1055.354643330918,1055.354643330918
0.0,856.9160720090564,856.9160720090564
0.0,922.5889966045626,922.5889966045626
0.0,726.4443580989089,726.4443580989089
0.0,790.2091903728973,790.2091903728973
0.0,659.351419391157,659.351419391157
0.0,528.4380808855798,528.4380808855798
0.0,791.2624562348972,791.2624562348972
0.0,924.8327405611561,924.8327405611561
0.0,1517.0334500615418,1517.0334500615418
0.0,922.3159170751777,922.3159170751777
0.0,1584.6201840696147,1584.6201840696147
0.0,857.4458954616723,857.4458954616723
0.0,1316.9390871675146,1316.9390871675146
0.0,1256.6282006520853,1256.6282006520853
0.0,923.59544463023,923.59544463023
0.0,726.0029139834952,726.0029139834952
0.0,1058.229061210869,1058.229061210869
0.0,1052.7981961224534,1052.7981961224534
0.0,920.7872961070143,920.7872961070143
0.0,1051.9335634779995,1051.9335634779995
0.0,1051.5573524609063,1051.5573524609063
0.0,1119.9301033817756,1119.9301033817756
0.0,1644.5635543543572,1644.5635543543572
0.0,1843.787427480818,1843.787427480818
0.0,2044.1876043968234,2044.1876043968234
0.0,2109.7867067151046,2109.7867067151046
44.60313910096097,2107.8092726912237,2152.4124117921847
44.05362278549776,2373.846214925342,2417.8998377108396
176.04095948257356,2107.571256367912,2283.612215850486
177.02843278640592,2308.652112368586,2485.680545154992
219.50837860260512,2108.880506132713,2328.3888847353182
265.21085291137194,2041.6758512961628,2306.886704207535
266.07823513002376,2111.5025579608396,2377.580793090863
399.5289367775489,2315.5419116627018,2715.0708484402508
310.4673714756713,2110.0766468951183,2420.5440183707897
398.3400096249418,1584.9082808478565,1983.2482904727983
532.546413628658,1454.3453721457058,1986.8917857743638
620.2342341559773,1059.2329066532805,1679.4671408092577
708.5200530332326,859.243361200259,1567.7634142334914
932.715191818547,725.5900868746573,1658.3052786932044
1151.8348522283102,526.3999995529103,1678.2348517812206
1241.4920100556392,461.9595630901712,1703.4515731458105
1956.1184562076817,461.7866006762332,2417.9050568839148
2086.9446055616945,329.00453008448926,2415.949135646184
2350.7703978843792,330.82223099543535,2681.5926288798146
2265.989509924562,395.9746118786597,2661.9641218032216
2086.831892505433,395.1081368232592,2481.9400293286926
2261.8926008910066,263.9810579268473,2525.873658817854
2972.5244009461226,262.22047700252506,3234.7448779486476
3506.39545946669,197.80754338649817,3704.2030028531885
3726.1143532160313,198.33866633161958,3924.453019547651
4041.349007295561,131.049997143399,4172.39900443896
3773.1699476979593,65.68262638636791,3838.852574084327
3595.5330484825236,65.65901556439191,3661.1920640469157
3595.7960398398245,66.13600543266335,3661.932045272488
3685.1144755242167,0.0,3685.1144755242167
3599.5604104991203,0.0,3599.5604104991203
3905.849146512617,0.0,3905.849146512617
4172.573060749814,0.0,4172.573060749814
4082.812600811256,0.0,4082.812600811256
4654.825592249194,0.0,4654.825592249194
4304.698344653684,0.0,4304.698344653684
4088.2272387843072,0.0,4088.2272387843072
4221.950292086166,0.0,4221.950292086166
4710.389520666423,0.0,4710.389520666423
4839.240678663758,0.0,4839.240678663758
5015.94721801027,0.0,5015.94721801027
4703.823125471569,0.0,4703.823125471569
4528.627813144728,0.0,4528.627813144728
4887.216232334513,0.0,4887.216232334513
4044.3592652522148,0.0,4044.3592652522148
3862.8004509509906,0.0,3862.8004509509906
3684.9213950172034,0.0,3684.9213950172034
3731.609073600022,0.0,3731.609073600022
4088.200374267379,0.0,4088.200374267379
4091.4465533356383,0.0,4091.4465533356383
4003.4241361069335,0.0,4003.4241361069335
3823.4309819644955,0.0,3823.4309819644955
3691.413763738025,0.0,3691.413763738025
3908.0932852866154,0.0,3908.0932852866154
3600.632051835054,0.0,3600.632051835054
3371.4998037388395,0.0,3371.4998037388395
2845.1162361975057,0.0,2845.1162361975057
2533.527165135038,0.0,2533.527165135038
2308.9949977995248,0.0,2308.9949977995248
2129.5188431342976,0.0,2129.5188431342976
1953.2143719439093,0.0,1953.2143719439093
1643.54839439849,0.0,1643.54839439849
1381.3846397515845,0.0,1381.3846397515845
1245.605468938155,0.0,1245.605468938155
1020.9256231468214,0.0,1020.9256231468214
846.1523333416332,0.0,846.1523333416332
666.1513836972604,0.0,666.1513836972604
576.728304898033,0.0,576.728304898033
399.1451989794919,0.0,399.1451989794919
400.3693265664117,0.0,400.3693265664117
222.6512075229022,0.0,222.6512075229022
133.39412409984718,0.0,133.39412409984718
88.14168134584466,0.0,88.14168134584466
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,131.31564423456797,131.31564423456797
0.0,66.49462528385023,66.49462528385023
0.0,65.7962559151044,65.7962559151044
0.0,131.31098744506124,131.31098744506124
0.0,131.8063747116425,131.8063747116425
0.0,131.41285689414812,131.41285689414812
0.0,66.20664479413347,66.20664479413347
0.0,131.84988594352586,131.84988594352586
0.0,328.4128699165305,328.4128699165305
0.0,198.36162952023938,198.36162952023938
0.0,197.58226144372034,197.58226144372034
0.0,264.3553227997847,264.3553227997847
0.0,264.56556041157506,264.56556041157506
0.0,199.0571184728671,199.0571184728671
0.0,266.344372142028,266.344372142028
0.0,396.117684494383,396.117684494383
0.0,396.9079640378318,396.9079640378318
0.0,462.93395274449136,462.93395274449136
0.0,591.7430622839707,591.7430622839707
