Home_Load,Work_Load,Total_Load
0.0,64.83791610519002,64.83791610519002
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,132.47877749146573,132.47877749146573
0.0,131.40648195486563,131.40648195486563
0.0,197.72566972600367,197.72566972600367
0.0,197.0363987597756,197.0363987597756
0.0,131.31825803112164,131.31825803112164
0.0,65.48753542949972,65.48753542949972
0.0,197.86597869556283,197.86597869556283
0.0,197.9016828743992,197.9016828743992
0.0,65.55090966791869,65.55090966791869
0.0,65.4865198216968,65.4865198216968
0.0,396.3496360733702,396.3496360733702
0.0,197.88570221537822,197.88570221537822
0.0,262.00641164439116,262.00641164439116
0.0,331.12946551300575,331.12946551300575
0.0,526.2722619392608,526.2722619392608
0.0,329.80558195904604,329.80558195904604
0.0,530.6350033496084,530.6350033496084
0.0,462.938502018087,462.938502018087
0.0,528.1240517270661,528.1240517270661
0.0,394.8393307118426,394.8393307118426
0.0,593.9667650904595,593.9667650904595
0.0,396.7575244412606,396.7575244412606
0.0,527.4282059082526,527.4282059082526
0.0,791.5178068761059,791.5178068761059
0.0,925.9454056326041,925.9454056326041
0.0,528.7737851968833,528.7737851968833
0.0,923.2677554894995,923.2677554894995
0.0,992.3925893755801,992.3925893755801
0.0,660.570955801484,660.570955801484
0.0,924.556919159422,924.556919159422
0.0,988.5792564449035,988.5792564449035
0.0,858.0849418468024,858.0849418468024
0.0,1057.5078730809287,1057.5078730809287
0.0,526.7910666032221,526.7910666032221
0.0,464.23828683140533,464.23828683140533
0.0,330.0212229209037,330.0212229209037
0.0,725.9352375392011,725.9352375392011
0.0,460.84976331772543,460.84976331772543
0.0,661.8277733262433,661.8277733262433
0.0,660.1952709029711,660.1952709029711
0.0,329.73658296848623,329.73658296848623
0.0,458.72160978676925,458.72160978676925
0.0,398.1892609837376,398.1892609837376
0.0,790.4530275022537,790.4530275022537
0.0,858.5209618300673,858.5209618300673
