Home_Load,Work_Load,Total_Load
0.0,34.59588912993817,65.56412366519068
0.0,34.798705341448965,65.94848919263399
0.0,34.55213942223658,65.4812117551863
0.0,69.50258374641989,131.71726787207126
0.0,34.358691448535,65.11460036899199
0.0,34.76207155303887,65.8790629603836
0.0,0.0,0.0
0.0,0.0,0.0
0.0,34.50618774659633,65.39412680318566
0.0,68.91061505117581,130.59540311539075
0.0,138.8804258648557,263.19813264166334
0.0,34.94123725782084,66.21860741841924
0.0,209.7465291958992,397.49946379161145
0.0,105.12955051728028,199.23543011404004
0.0,243.665426702757,461.78059217579545
0.0,244.84860650856086,464.0228859585776
0.0,209.30942342923615,396.6710862802653
0.0,347.6859445962279,658.9142479482925
0.0,382.53683810059295,724.961641122103
0.0,419.2897206196106,794.6135736242177
0.0,280.2036359637194,531.0256883631712
0.0,384.0245358662191,727.7810396904008
0.0,381.96146122110883,723.8712202128759
0.0,453.10290912122247,858.6943684292751
0.0,625.9772063139321,1186.31571549468
0.0,488.09841211466113,925.0158171242248
0.0,626.0453414354662,1186.4448412274346
0.0,627.50355885015,1189.208370343509
0.0,732.2321127917975,1387.6838549919082
0.0,730.3034845529584,1384.028830550117
0.0,974.7402407859906,1847.271201740166
0.0,1149.402945246756,2178.2818345916976
0.0,767.3025758317555,1454.1473636218254
0.0,1013.8699330357256,1921.4275262678211
0.0,1253.9907503945674,2376.4905802847798
0.0,905.9367426428394,1716.878800379636
0.0,1010.6009499439504,1915.2323390048612
0.0,801.8410938417851,1519.602760866187
0.0,591.5806891204525,1121.1294299665071
0.0,487.5678394771791,924.0103066172804
0.0,697.336434557169,1321.5515883933313
0.0,627.9685426046154,1190.0895806013398
0.0,766.7198315953838,1453.0429805248873
0.0,940.4170890495983,1782.2239541735023
0.0,557.8774216656485,1057.256951157586
0.0,872.6472222756242,1653.790431067508
0.0,872.1333363045615,1652.8165441634883
0.0,628.1145856315916,1190.3663528804143
0.0,698.4213409554777,1323.607640110826
0.0,557.0976045989105,1055.779087056224
0.0,453.5032286458158,859.4530307870324
0.0,662.6179275491136,1255.7550864333018
0.0,556.2834735333537,1054.236193053374
0.0,419.071796682463,794.2005768108944
0.0,382.46122216552317,724.8183381851744
0.0,661.5341616291972,1253.7011960843463
0.0,802.5591385627087,1520.9635575985085
0.0,835.5260883487557,1583.4406098435993
0.0,1152.675018332147,2184.4828778314413
44.90574909776302,834.4529795755043,1626.3126653990053
177.5950956660591,1111.1587566284384,2283.398760882529
179.26527650618291,1111.7629494697262,2286.213972972321
223.4285861425024,1288.5900551186455,2665.489763128496
221.63131925273493,1219.1404999513256,2532.075725055869
222.6328622064948,1285.487964660303,2658.8151371741737
311.7743284036434,1182.0363129973211,2551.9010299034785
400.6006519221186,1041.6810511229858,2374.734197066686
533.2263430702998,1042.0728171408725,2508.102340462534
800.4283335012561,834.0556225154694,2381.082201735848
1419.6906384088632,695.9714117474181,2738.6553146991937
1645.8314065709449,732.513538192095,3034.04860266816
1954.321101041142,592.7765995460658,3077.7169511231405
2399.796516408385,487.49306980063943,3323.665123868848
2709.024714254192,417.04463500423253,3499.3835317606317
2978.086788568781,384.9805346893699,3707.6795818126006
3465.022030978922,347.61989036088534,4123.811096769347
3601.7479504323096,278.8420609984803,4130.193260847538
3732.423995448133,242.94133645221598,4192.832333754316
4448.132872458344,209.13479188232827,4844.473007153745
5111.521627302283,209.5070656994804,5508.567273756421
5865.547978375801,140.06659397177725,6130.994068055303
6663.426637244133,138.91903753999443,6926.697944494324
6574.220621009536,139.39300227872886,6838.390158758345
7023.119989174373,138.7284526091505,7286.030110911231
7457.687985991888,139.7148881358597,7722.467543158429
8167.507270058267,103.41533084313978,8363.49401041375
8653.812247327129,103.62050327957085,8850.187818590939
9102.173149250635,104.01372848927862,9299.293938137867
9894.577721212338,104.65302395253644,10092.910065803608
10917.78363263329,104.01110452750024,11114.899448740263
11054.37941764417,34.90717037273287,11120.53346347672
11550.774279774634,34.69935343018247,11616.53448298415
12121.878908509883,0.0,12121.878908509883
12658.097500497532,0.0,12658.097500497532
12039.937263406502,0.0,12039.937263406502
11726.930282473328,0.0,11726.930282473328
12350.16220280241,0.0,12350.16220280241
12653.094718666229,0.0,12653.094718666229
12873.82118456524,0.0,12873.82118456524
