Home_Load,Work_Load,Total_Load
0.0,65.77452544037149,65.77452544037149
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,66.13602842607163,66.13602842607163
0.0,0.0,0.0
0.0,263.0987497292809,263.0987497292809
0.0,262.7348892762831,262.7348892762831
0.0,131.71263047959525,131.71263047959525
0.0,262.62653339758015,262.62653339758015
0.0,198.00932954830805,198.00932954830805
0.0,398.24734034060407,398.24734034060407
0.0,529.2802813097574,529.2802813097574
0.0,462.9002251176996,462.9002251176996
0.0,530.0971237451093,530.0971237451093
0.0,793.1138399573465,793.1138399573465
0.0,528.2514313822885,528.2514313822885
0.0,662.0451648265672,662.0451648265672
0.0,991.3380247233531,991.3380247233531
0.0,1319.091765843082,1319.091765843082
0.0,1520.1030661849186,1520.1030661849186
0.0,1055.697902731788,1055.697902731788
0.0,1655.687728134902,1655.687728134902
0.0,1384.9552744407545,1384.9552744407545
0.0,1720.37030119976,1720.37030119976
0.0,1982.0757991343396,1982.0757991343396
0.0,1717.9089915858176,1717.9089915858176
0.0,1583.898152202246,1583.898152202246
0.0,1456.119525185386,1456.119525185386
0.0,1651.4090024439904,1651.4090024439904
0.0,1652.734839676028,1652.734839676028
0.0,1648.4849875630136,1648.4849875630136
0.0,1782.4084209451482,1782.4084209451482
0.0,1652.1499625599504,1652.1499625599504
0.0,2314.3650239863773,2314.3650239863773
0.0,1653.9048271998502,1653.9048271998502
0.0,1456.958110511238,1456.958110511238
0.0,1786.2307321745877,1786.2307321745877
0.0,2108.7243272253136,2108.7243272253136
0.0,1981.8028503518913,1981.8028503518913
0.0,1782.9421098920427,1782.9421098920427
0.0,1846.4400105139946,1846.4400105139946
0.0,1255.3762536417244,1255.3762536417244
0.0,1586.6795192765062,1586.6795192765062
0.0,1722.1806432843578,1722.1806432843578
0.0,1581.473045475528,1581.473045475528
0.0,1713.5081856911415,1713.5081856911415
0.0,1186.401376245766,1186.401376245766
0.0,1715.4339996717024,1715.4339996717024
0.0,1450.6310842713838,1450.6310842713838
0.0,1714.292995964665,1714.292995964665
0.0,1846.2941270627703,1846.2941270627703
